node1	node2
YBR004C	YLR082C
YBR006W	YKL023W
YBR009C	YBR010W
YBR009C	YGR116W
YBR009C	YNL031C
YBR010W	YGR116W
YBR010W	YNL030W
YBR013C	YGR292W
YBR015C	YHR030C
YBR015C	YJL095W
YBR017C	YDR192C
YBR017C	YGL092W
YBR017C	YGL122C
YBR017C	YGL172W
YBR017C	YGR119C
YBR017C	YKL068W
YBR017C	YMR047C
YBR017C	YNR069C
YBR017C	YOL123W
YBR017C	YOR098C
YBR019C	YOL150C
YBR020W	YML051W
YBR021W	YEL021W
YBR021W	YOR128C
YBR023C	YBL007C
YBR023C	YBL047C
YBR023C	YBL072C
YBR023C	YBR015C
YBR023C	YBR057C
YBR023C	YBR077C
YBR023C	YDL032W
YBR023C	YDL033C
YBR023C	YDL223C
YBR023C	YDR129C
YBR023C	YDR245W
YBR023C	YDR388W
YBR023C	YEL044W
YBR023C	YER111C
YBR023C	YFR019W
YBR023C	YFR036W
YBR023C	YGL084C
YBR023C	YGL200C
YBR023C	YGL212W
YBR023C	YGL240W
YBR023C	YGR135W
YBR023C	YGR229C
YBR023C	YHR030C
YBR023C	YJL095W
YBR023C	YJL148W
YBR023C	YJR073C
YBR023C	YJR118C
YBR023C	YKL041W
YBR023C	YKL079W
YBR023C	YKL194C
YBR023C	YKR020W
YBR023C	YLL039C
YBR023C	YLR087C
YBR023C	YLR110C
YBR023C	YLR111W
YBR023C	YLR337C
YBR023C	YLR338W
YBR023C	YLR342W
YBR023C	YLR370C
YBR023C	YML115C
YBR023C	YMR060C
YBR023C	YMR089C
YBR023C	YMR116C
YBR023C	YMR307W
YBR023C	YNL079C
YBR023C	YNL171C
YBR023C	YNL271C
YBR023C	YNL298W
YBR023C	YNR051C
YBR023C	YOR035C
YBR023C	YOR312C
YBR023C	YPL055C
YBR023C	YPL069C
YBR024W	YBR037C
YBR024W	YLL009C
YBR025C	YNL207W
YBR033W	YNL228W
YBR034C	YDR432W
YBR036C	YBR265W
YBR036C	YDL015C
YBR036C	YDR062W
YBR036C	YDR208W
YBR036C	YDR270W
YBR036C	YDR297W
YBR036C	YER093C
YBR036C	YKL203C
YBR036C	YMR272C
YBR036C	YMR296C
YBR036C	YNL330C
YBR036C	YOL004W
YBR036C	YPL057C
YBR036C	YPL231W
YBR037C	Q0250
YBR037C	YLL009C
YBR039W	YPR024W
YBR040W	YCL040W
YBR043C	YGR074W
YBR043C	YJL155C
YBR044C	YKL141W
YBR044C	YKL148C
YBR044C	YLL041C
YBR045C	YDR103W
YBR045C	YER054C
YBR045C	YER133W
YBR045C	YIL045W
YBR045C	YLR263W
YBR045C	YOR178C
YBR045C	YOR329C
YBR046C	YDR103W
YBR048W	YDR025W
YBR048W	YDR450W
YBR050C	YDR028C
YBR050C	YDR477W
YBR050C	YER133W
YBR052C	YDR032C
YBR054W	YDR190C
YBR055C	YDL064W
YBR055C	YDR028C
YBR055C	YPR082C
YBR057C	YCL055W
YBR057C	YDR206W
YBR057C	YGL192W
YBR057C	YIL144W
YBR058C	YOL059W
YBR058C	YOL064C
YBR058C	YOL113W
YBR058C	YOL132W
YBR058C	YOL156W
YBR058C	YOR123C
YBR059C	YER144C
YBR060C	YDL017W
YBR060C	YLR103C
YBR060C	YMR001C
YBR060C	YNL261W
YBR060C	YPR019W
YBR061C	YBR300C
YBR061C	YDR383C
YBR061C	YDR461W
YBR061C	YER028C
YBR061C	YGR182C
YBR061C	YGR195W
YBR061C	YGR201C
YBR061C	YGR219W
YBR061C	YGR235C
YBR061C	YGR277C
YBR061C	YHL011C
YBR061C	YHR008C
YBR061C	YHR022C
YBR061C	YHR026W
YBR061C	YHR058C
YBR061C	YHR059W
YBR061C	YJL097W
YBR061C	YJL140W
YBR061C	YJL166W
YBR064W	YJL159W
YBR064W	YOR317W
YBR066C	YDR477W
YBR067C	YNL237W
YBR067C	YPR138C
YBR068C	YJL129C
YBR068C	YKL106W
YBR068C	YKR050W
YBR068C	YOR133W
YBR069C	YOL109W
YBR073W	YER179W
YBR074W	YMR083W
YBR077C	YGR201C
YBR077C	YKR007W
YBR077C	YMR004W
YBR077C	YOR045W
YBR079C	YMR309C
YBR079C	YNL243W
YBR079C	YOR361C
YBR080C	YKR068C
YBR081C	YBR198C
YBR081C	YDR145W
YBR081C	YDR167W
YBR081C	YDR176W
YBR081C	YDR392W
YBR081C	YDR448W
YBR081C	YGL112C
YBR081C	YGR252W
YBR081C	YHR099W
YBR081C	YLR055C
YBR081C	YMR236W
YBR081C	YNL236W
YBR081C	YOL051W
YBR081C	YOL148C
YBR081C	YOR290C
YBR081C	YPL254W
YBR082C	YDR059C
YBR082C	YDR177W
YBR082C	YMR022W
YBR083W	YKL043W
YBR085W	YDL143W
YBR085W	YDR129C
YBR087W	YBR088C
YBR087W	YDR328C
YBR087W	YER173W
YBR087W	YJR068W
YBR087W	YLR390W
YBR088C	YJR043C
YBR088C	YOR217W
YBR090C	YER158C
YBR091C	YDL217C
YBR091C	YEL020W-A
YBR091C	YHR005C-A
YBR091C	YOR297C
YBR091C	YOR334W
YBR093C	YKR106W
YBR093C	YML077W
YBR094W	YBR194W
YBR094W	YCR086W
YBR094W	YDL162C
YBR094W	YDR363W
YBR094W	YER019W
YBR094W	YER041W
YBR094W	YGL127C
YBR094W	YJL115W
YBR094W	YJR043C
YBR094W	YLR234W
YBR094W	YLR373C
YBR094W	YML028W
YBR094W	YMR038C
YBR094W	YMR190C
YBR094W	YNL153C
YBR094W	YNL297C
YBR094W	YOL149W
YBR094W	YOR001W
YBR094W	YOR144C
